"","original_title","id","Drama","Comedy","Thriller","Action","Romance","Adventure","Crime","Science Fiction","Horror","Family","Fantasy","Mystery","Animation","History","War","Music","Documentary","Western","Foreign","TV Movie"
"1","Toy Story",862,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"2","Jumanji",8844,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"3","Waiting to Exhale",31357,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Heat",949,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Sudden Death",9091,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","GoldenEye",710,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","The American President",9087,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Nixon",10858,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"9","Cutthroat Island",1408,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Casino",524,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Sense and Sensibility",4584,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Four Rooms",5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Ace Ventura: When Nature Calls",9273,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Money Train",11517,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Get Shorty",8012,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Assassins",9691,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Leaving Las Vegas",451,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Now and Then",9263,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"19","La Cité des Enfants Perdus",902,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"20","Twelve Monkeys",63,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"21","Babe",9598,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"22","Dead Man Walking",687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Mortal Kombat",9312,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"24","To Die For",577,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"25","How To Make An American Quilt",11861,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Se7en",807,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"27","Pocahontas",10530,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"28","The Usual Suspects",629,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Mighty Aphrodite",11448,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Friday",10634,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","From Dusk Till Dawn",755,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"32","Fair Game",11859,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Big Bully",36929,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"34","Screamers",9102,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"35","Things to Do in Denver When You're Dead",400,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","White Squall",10534,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Nick of Time",2086,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Mary Reilly",9095,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"39","Vampire in Brooklyn",12158,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"40","Broken Arrow",9208,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Bottle Rocket",13685,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Happy Gilmore",9614,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","The Bridges of Madison County",688,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Braveheart",197,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"45","紅番區",33542,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Steal Big Steal Little",78406,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Boomerang",11066,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Flirting with Disaster",2074,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Jade",11863,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"50","The Birdcage",11000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Bad Boys",9737,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","An Awfully Big Adventure",22279,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Apollo 13",568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Rob Roy",11780,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Batman Forever",414,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"56","Blue in the Face",5894,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Canadian Bacon",1775,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Casper",8839,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"59","Clockers",20649,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"60","Congo",10329,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"61","Crimson Tide",8963,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Desperado",8068,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Devil in a Blue Dress",8512,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"64","Die Hard: With a Vengeance",1572,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","First Knight",6520,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Hackers",10428,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","Johnny Mnemonic",9886,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"68","Judge Dredd",9482,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"69","Kids",9344,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Living in Oblivion",9071,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Mallrats",2293,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
