"","id","original_title","belongs_to_collection","budget","original_language","production_companies","revenue","runtime","famous_count"
"1",5,"Four Rooms",FALSE,4e+06,"English","Paramount Global",4300000,98,9
"2",12,"Finding Nemo",TRUE,9.4e+07,"English","The Walt Disney Studios",940335536,100,9
"3",13,"Forrest Gump",FALSE,5.5e+07,"English","Paramount Global",677945399,142,8
"4",14,"American Beauty",FALSE,1.5e+07,"English","Warner Bros. Entertainment",356296601,122,8
"5",16,"Dancer in the Dark",TRUE,12800000,"English","Warner Bros. Entertainment",40031879,140,6
"6",18,"The Fifth Element",FALSE,9e+07,"English","Sony Pictures Entertainment",263920180,126,6
"7",22,"Pirates of the Caribbean: The Curse of the Black Pearl",TRUE,1.4e+08,"English","The Walt Disney Studios",655011224,143,8
"8",24,"Kill Bill: Vol. 1",TRUE,3e+07,"English","Paramount Global",180949000,111,6
"9",25,"Jarhead",TRUE,7.2e+07,"English","NBCUniversal",96889998,125,7
"10",27,"9 Songs",FALSE,1e+06,"English","Smaller company",1574623,66,0
"11",33,"Unforgiven",FALSE,1.4e+07,"English","Smaller company",159157447,131,7
"12",35,"The Simpsons Movie",FALSE,7.5e+07,"English","Smaller company",527068851,87,5
"13",38,"Eternal Sunshine of the Spotless Mind",FALSE,2e+07,"English","Smaller company",72258126,108,7
"14",55,"Amores perros",FALSE,2e+06,"Europe","Smaller company",20908467,154,0
"15",58,"Pirates of the Caribbean: Dead Man's Chest",TRUE,2e+08,"English","The Walt Disney Studios",1065659812,151,12
"16",59,"A History of Violence",FALSE,3.2e+07,"English","Warner Bros. Entertainment",60740827,96,5
"17",63,"Twelve Monkeys",FALSE,29500000,"English","NBCUniversal",168840000,129,5
"18",64,"Hable con ella",FALSE,9285469,"Europe","Smaller company",51001550,112,0
"19",65,"8 Mile",FALSE,4.1e+07,"English","Smaller company",2.15e+08,110,4
"20",66,"Absolute Power",FALSE,5e+07,"English","Sony Pictures Entertainment",50068310,121,7
"21",69,"Walk the Line",FALSE,2.8e+07,"English","Smaller company",186438883,136,5
"22",70,"Million Dollar Baby",FALSE,3e+07,"English","Smaller company",216763646,132,8
"23",71,"Billy Elliot",FALSE,5e+06,"English","Smaller company",1.1e+08,110,3
"24",73,"American History X",FALSE,2e+07,"English","Warner Bros. Entertainment",23875127,119,3
"25",74,"War of the Worlds",FALSE,1.32e+08,"English","Paramount Global",591739379,116,8
"26",75,"Mars Attacks!",FALSE,7e+07,"English","Smaller company",101371017,106,14
"27",76,"Before Sunrise",TRUE,2500000,"English","Smaller company",5535405,105,2
"28",77,"Memento",FALSE,9e+06,"English","Smaller company",39723096,113,7
"29",78,"Blade Runner",TRUE,2.8e+07,"English","Smaller company",33139618,117,6
"30",79,"英雄",FALSE,3.1e+07,"Asia","Smaller company",177394432,99,3
"31",80,"Before Sunset",TRUE,2700000,"English","Warner Bros. Entertainment",15992615,80,2
"32",81,"風の谷のナウシカ",FALSE,1e+06,"Asia","Smaller company",3301446,117,0
"33",82,"Miami Vice",FALSE,1.35e+08,"English","NBCUniversal",163794509,134,9
"34",83,"Open Water",TRUE,130000,"English","Smaller company",54667954,79,0
"35",85,"Raiders of the Lost Ark",TRUE,1.8e+07,"English","The Walt Disney Studios",389925971,115,4
"36",87,"Indiana Jones and the Temple of Doom",TRUE,2.8e+07,"English","The Walt Disney Studios",3.33e+08,118,2
"37",88,"Dirty Dancing",TRUE,6e+06,"English","Smaller company",213954274,100,2
"38",89,"Indiana Jones and the Last Crusade",TRUE,4.8e+07,"English","The Walt Disney Studios",474171806,127,4
"39",90,"Beverly Hills Cop",TRUE,1.5e+07,"English","Paramount Global",316360478,105,2
"40",95,"Armageddon",FALSE,1.4e+08,"English","Smaller company",553799566,151,17
"41",96,"Beverly Hills Cop II",TRUE,2e+07,"English","Paramount Global",299965036,100,5
"42",97,"Tron",TRUE,1.7e+07,"English","The Walt Disney Studios",3.3e+07,96,1
"43",98,"Gladiator",FALSE,1.03e+08,"English","Warner Bros. Entertainment",457640427,155,7
"44",99,"Todo sobre mi madre",FALSE,8272296,"Europe","Smaller company",67872296,101,1
"45",100,"Lock, Stock and Two Smoking Barrels",FALSE,1350000,"English","Smaller company",3897569,105,4
"46",101,"Léon",FALSE,1.6e+07,"Europe","Sony Pictures Entertainment",45284974,110,3
"47",104,"Lola rennt",FALSE,1530000,"Europe","Smaller company",7267585,81,0
"48",105,"Back to the Future",TRUE,1.9e+07,"English","NBCUniversal",381109762,116,5
"49",106,"Predator",TRUE,1.8e+07,"English","The Walt Disney Studios",98235548,107,2
"50",107,"Snatch",FALSE,1e+07,"English","Sony Pictures Entertainment",83557872,103,9
"51",111,"Scarface",FALSE,2.5e+07,"English","NBCUniversal",65884703,170,7
"52",114,"Pretty Woman",FALSE,1.4e+07,"English","The Walt Disney Studios",4.63e+08,119,6
"53",115,"The Big Lebowski",FALSE,1.5e+07,"English","Smaller company",46189568,117,11
"54",116,"Match Point",FALSE,1.5e+07,"English","NBCUniversal",85306374,124,9
"55",117,"The Untouchables",FALSE,2.5e+07,"English","Paramount Global",76270454,119,6
"56",118,"Charlie and the Chocolate Factory",FALSE,1.5e+08,"English","Smaller company",474968763,115,6
"57",120,"The Lord of the Rings: The Fellowship of the Ring",TRUE,9.3e+07,"English","Smaller company",871368364,178,14
"58",121,"The Lord of the Rings: The Two Towers",TRUE,7.9e+07,"English","Smaller company",926287400,179,16
"59",122,"The Lord of the Rings: The Return of the King",TRUE,9.4e+07,"English","Smaller company",1118888979,201,17
"60",128,"もののけ姫",FALSE,26500000,"Asia","Paramount Global",159375308,134,0
"61",129,"千と千尋の神隠し",FALSE,1.5e+07,"Asia","Smaller company",274925095,125,0
"62",134,"O Brother, Where Art Thou?",FALSE,2.6e+07,"English","NBCUniversal",71868327,106,7
"63",137,"Groundhog Day",FALSE,14600000,"English","Sony Pictures Entertainment",70906973,101,6
"64",140,"La mala educación",FALSE,5e+06,"Europe","Smaller company",40266982,106,0
"65",141,"Donnie Darko",TRUE,6e+06,"English","Smaller company",1270522,113,8
"66",142,"Brokeback Mountain",FALSE,1.4e+07,"English","Smaller company",178043761,134,8
"67",144,"Der Himmel über Berlin",FALSE,2500000,"Europe","Smaller company",3200000,128,0
"68",146,"卧虎藏龙",TRUE,1.7e+07,"Asia","Sony Pictures Entertainment",213525736,120,1
"69",149,"アキラ",FALSE,8e+06,"Asia","Smaller company",553171,124,0
"70",150,"48 Hrs.",TRUE,1.2e+07,"English","Paramount Global",78868508,96,8
"71",153,"Lost in Translation",FALSE,4e+06,"English","Smaller company",119723856,102,4
"72",154,"Star Trek II: The Wrath of Khan",TRUE,1.2e+07,"English","Paramount Global",96800000,113,2
"73",155,"The Dark Knight",TRUE,1.85e+08,"English","Warner Bros. Entertainment",1004558444,152,12
"74",157,"Star Trek III: The Search for Spock",TRUE,1.8e+07,"English","Paramount Global",8.7e+07,105,4
"75",161,"Ocean's Eleven",TRUE,8.5e+07,"English","Smaller company",450717150,116,9
"76",162,"Edward Scissorhands",FALSE,2e+07,"English","The Walt Disney Studios",5.3e+07,105,8
"77",163,"Ocean's Twelve",TRUE,1.1e+08,"English","Smaller company",362744280,125,15
"78",165,"Back to the Future Part II",TRUE,4e+07,"English","NBCUniversal",3.32e+08,108,8
"79",167,"K-PAX",FALSE,4.8e+07,"English","Smaller company",50315140,120,8
"80",168,"Star Trek IV: The Voyage Home",TRUE,2.4e+07,"English","Paramount Global",1.33e+08,119,2
