"","belongs_to_collection","budget","original_language","production_companies","revenue","runtime","famous_count","Drama","Action","Romance","Adventure","Crime","Science.Fiction","Horror","Family","Fantasy","Animation","History","Documentary","Western","Foreign"
"1","FALSE",4e+06,"English","Paramount Global",4300000,98,9,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2","TRUE",9.4e+07,"English","The Walt Disney Studios",940335536,100,9,"0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"3","FALSE",5.5e+07,"English","Paramount Global",677945399,142,8,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"4","FALSE",1.5e+07,"English","Warner Bros. Entertainment",356296601,122,8,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","TRUE",12800000,"English","Warner Bros. Entertainment",40031879,140,6,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6","FALSE",9e+07,"English","Sony Pictures Entertainment",263920180,126,6,"0","1","0","1","0","1","0","0","1","0","0","0","0","0"
"7","TRUE",1.4e+08,"English","The Walt Disney Studios",655011224,143,8,"0","1","0","1","0","0","0","0","1","0","0","0","0","0"
"8","TRUE",3e+07,"English","Paramount Global",180949000,111,6,"0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"9","TRUE",7.2e+07,"English","NBCUniversal",96889998,125,7,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","FALSE",1e+06,"English","Smaller company",1574623,66,0,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"11","FALSE",1.4e+07,"English","Smaller company",159157447,131,7,"0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"12","FALSE",7.5e+07,"English","Smaller company",527068851,87,5,"0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"13","FALSE",2e+07,"English","Smaller company",72258126,108,7,"1","0","1","0","0","1","0","0","0","0","0","0","0","0"
"14","FALSE",2e+06,"Europe","Smaller company",20908467,154,0,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","TRUE",2e+08,"English","The Walt Disney Studios",1065659812,151,12,"0","1","0","1","0","0","0","0","1","0","0","0","0","0"
"16","FALSE",3.2e+07,"English","Warner Bros. Entertainment",60740827,96,5,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"17","FALSE",29500000,"English","NBCUniversal",168840000,129,5,"0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"18","FALSE",9285469,"Europe","Smaller company",51001550,112,0,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"19","FALSE",4.1e+07,"English","Smaller company",2.15e+08,110,4,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","FALSE",5e+07,"English","Sony Pictures Entertainment",50068310,121,7,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"21","FALSE",2.8e+07,"English","Smaller company",186438883,136,5,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"22","FALSE",3e+07,"English","Smaller company",216763646,132,8,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","FALSE",5e+06,"English","Smaller company",1.1e+08,110,3,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","FALSE",2e+07,"English","Warner Bros. Entertainment",23875127,119,3,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","FALSE",1.32e+08,"English","Paramount Global",591739379,116,8,"0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"26","FALSE",7e+07,"English","Smaller company",101371017,106,14,"0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"27","TRUE",2500000,"English","Smaller company",5535405,105,2,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"28","FALSE",9e+06,"English","Smaller company",39723096,113,7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","TRUE",2.8e+07,"English","Smaller company",33139618,117,6,"1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"30","FALSE",3.1e+07,"Asia","Smaller company",177394432,99,3,"1","1","0","1","0","0","0","0","0","0","1","0","0","0"
"31","TRUE",2700000,"English","Warner Bros. Entertainment",15992615,80,2,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"32","FALSE",1e+06,"Asia","Smaller company",3301446,117,0,"0","0","0","1","0","0","0","0","1","1","0","0","0","0"
"33","FALSE",1.35e+08,"English","NBCUniversal",163794509,134,9,"0","1","0","1","1","0","0","0","0","0","0","0","0","0"
"34","TRUE",130000,"English","Smaller company",54667954,79,0,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","TRUE",1.8e+07,"English","The Walt Disney Studios",389925971,115,4,"0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"36","TRUE",2.8e+07,"English","The Walt Disney Studios",3.33e+08,118,2,"0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"37","TRUE",6e+06,"English","Smaller company",213954274,100,2,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"38","TRUE",4.8e+07,"English","The Walt Disney Studios",474171806,127,4,"0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"39","TRUE",1.5e+07,"English","Paramount Global",316360478,105,2,"0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"40","FALSE",1.4e+08,"English","Smaller company",553799566,151,17,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"41","TRUE",2e+07,"English","Paramount Global",299965036,100,5,"0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"42","TRUE",1.7e+07,"English","The Walt Disney Studios",3.3e+07,96,1,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"43","FALSE",1.03e+08,"English","Warner Bros. Entertainment",457640427,155,7,"1","1","0","1","0","0","0","0","0","0","0","0","0","0"
"44","FALSE",8272296,"Europe","Smaller company",67872296,101,1,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","FALSE",1350000,"English","Smaller company",3897569,105,4,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"46","FALSE",1.6e+07,"Europe","Sony Pictures Entertainment",45284974,110,3,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"47","FALSE",1530000,"Europe","Smaller company",7267585,81,0,"1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"48","TRUE",1.9e+07,"English","NBCUniversal",381109762,116,5,"0","0","0","1","0","1","0","1","0","0","0","0","0","0"
"49","TRUE",1.8e+07,"English","The Walt Disney Studios",98235548,107,2,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"50","FALSE",1e+07,"English","Sony Pictures Entertainment",83557872,103,9,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"51","FALSE",2.5e+07,"English","NBCUniversal",65884703,170,7,"1","1","0","0","1","0","0","0","0","0","0","0","0","0"
"52","FALSE",1.4e+07,"English","The Walt Disney Studios",4.63e+08,119,6,"0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"53","FALSE",1.5e+07,"English","Smaller company",46189568,117,11,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"54","FALSE",1.5e+07,"English","NBCUniversal",85306374,124,9,"1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"55","FALSE",2.5e+07,"English","Paramount Global",76270454,119,6,"1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"56","FALSE",1.5e+08,"English","Smaller company",474968763,115,6,"0","0","0","1","0","0","0","1","1","0","0","0","0","0"
"57","TRUE",9.3e+07,"English","Smaller company",871368364,178,14,"0","1","0","1","0","0","0","0","1","0","0","0","0","0"
"58","TRUE",7.9e+07,"English","Smaller company",926287400,179,16,"0","1","0","1","0","0","0","0","1","0","0","0","0","0"
"59","TRUE",9.4e+07,"English","Smaller company",1118888979,201,17,"0","1","0","1","0","0","0","0","1","0","0","0","0","0"
"60","FALSE",26500000,"Asia","Paramount Global",159375308,134,0,"0","0","0","1","0","0","0","0","1","1","0","0","0","0"
"61","FALSE",1.5e+07,"Asia","Smaller company",274925095,125,0,"0","0","0","1","0","0","0","1","1","1","0","0","0","0"
"62","FALSE",2.6e+07,"English","NBCUniversal",71868327,106,7,"0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"63","FALSE",14600000,"English","Sony Pictures Entertainment",70906973,101,6,"1","0","1","0","0","0","0","0","1","0","0","0","0","0"
"64","FALSE",5e+06,"Europe","Smaller company",40266982,106,0,"1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"65","TRUE",6e+06,"English","Smaller company",1270522,113,8,"1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"66","FALSE",1.4e+07,"English","Smaller company",178043761,134,8,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"67","FALSE",2500000,"Europe","Smaller company",3200000,128,0,"1","0","1","0","0","0","0","0","1","0","0","0","0","0"
"68","TRUE",1.7e+07,"Asia","Sony Pictures Entertainment",213525736,120,1,"1","1","1","1","0","0","0","0","0","0","0","0","0","0"
"69","FALSE",8e+06,"Asia","Smaller company",553171,124,0,"0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"70","TRUE",1.2e+07,"English","Paramount Global",78868508,96,8,"1","1","0","0","1","0","0","0","0","0","0","0","0","0"
"71","FALSE",4e+06,"English","Smaller company",119723856,102,4,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","TRUE",1.2e+07,"English","Paramount Global",96800000,113,2,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"73","TRUE",1.85e+08,"English","Warner Bros. Entertainment",1004558444,152,12,"1","1","0","0","1","0","0","0","0","0","0","0","0","0"
"74","TRUE",1.8e+07,"English","Paramount Global",8.7e+07,105,4,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"75","TRUE",8.5e+07,"English","Smaller company",450717150,116,9,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"76","FALSE",2e+07,"English","The Walt Disney Studios",5.3e+07,105,8,"1","0","1","0","0","0","0","0","1","0","0","0","0","0"
"77","TRUE",1.1e+08,"English","Smaller company",362744280,125,15,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"78","TRUE",4e+07,"English","NBCUniversal",3.32e+08,108,8,"0","0","0","1","0","1","0","1","0","0","0","0","0","0"
"79","FALSE",4.8e+07,"English","Smaller company",50315140,120,8,"1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"80","TRUE",2.4e+07,"English","Paramount Global",1.33e+08,119,2,"0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"81","TRUE",3.5e+07,"English","The Walt Disney Studios",57120318,108,5,"0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"82","TRUE",5e+06,"English","Smaller company",82719885,113,3,"0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"83","TRUE",3e+07,"English","Paramount Global",70200000,107,2,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"84","TRUE",2.7e+07,"English","Paramount Global",96900000,113,6,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"85","TRUE",1200000,"English","Smaller company",103911669,103,5,"0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"86","FALSE",2.4e+07,"English","Sony Pictures Entertainment",41895491,137,6,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","FALSE",8e+07,"English","NBCUniversal",162944923,128,5,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"88","FALSE",1.02e+08,"English","Warner Bros. Entertainment",358372926,145,8,"0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"89","FALSE",3.2e+07,"English","Warner Bros. Entertainment",5914908,108,7,"1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"90","FALSE",6e+06,"English","NBCUniversal",14278900,100,4,"1","0","1","1","0","0","0","1","0","0","0","0","0","0"
"91","FALSE",1.2e+07,"English","Paramount Global",39673162,154,7,"0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"92","FALSE",2.7e+07,"English","Smaller company",56308881,110,9,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"93","TRUE",4e+07,"English","Smaller company",158733820,124,18,"0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"94","TRUE",6.5e+07,"English","Paramount Global",39407616,102,17,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"95","FALSE",2e+07,"English","Smaller company",77200000,130,4,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","TRUE",3.8e+07,"English","Paramount Global",1.2e+08,118,5,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"97","FALSE",1e+07,"Europe","Smaller company",173921954,122,0,"0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"98","TRUE",4e+07,"English","NBCUniversal",244527583,118,5,"0","0","0","1","0","1","0","1","0","0","0","0","0","0"
"99","FALSE",7.2e+07,"English","Smaller company",2.1e+08,177,8,"1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"100","TRUE",4.6e+07,"English","Paramount Global",1.5e+08,111,6,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"101","TRUE",7e+07,"English","Paramount Global",1.18e+08,103,4,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"102","TRUE",6e+07,"English","Paramount Global",67312826,117,5,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"103","FALSE",17500000,"English","Smaller company",3.8e+07,121,5,"1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"104","FALSE",16400000,"English","The Walt Disney Studios",235860116,129,3,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","TRUE",1e+07,"English","Smaller company",163876815,108,2,"0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"106","TRUE",4e+06,"English","Smaller company",152925093,92,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"107","TRUE",1.85e+08,"English","The Walt Disney Studios",786636033,122,6,"0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"108","TRUE",6400000,"English","Smaller company",78371200,108,5,"0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"109","FALSE",12899867,"Europe","Smaller company",85582407,121,1,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"110","FALSE",2e+06,"English","The Walt Disney Studios",11540607,118,3,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"111","FALSE",1e+07,"English","Smaller company",33697647,91,6,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
